target,ligand,seed,affinity
enpp3,CHEMBL5915707,6,-7.5
enpp2,CHEMBL6174154,6,-8.8
enpp3,CHEMBL5555976,6,-7.7
enpp2,TZV_native,6,-8.6
enpp3,CHEMBL6149286,6,-11.0
enpp3,CHEMBL6174154,6,-10.2
enpp3,CHEMBL5826130,6,-7.7
enpp3,TZV_native,6,-10.0
enpp3,CHEMBL5915707,6,-7.5
enpp1,CHEMBL5826130,7,-7.8
enpp3,CHEMBL5555976,6,-7.7
enpp1,CHEMBL5915707,7,-7.9
enpp3,CHEMBL6149286,6,-11.0
enpp3,CHEMBL6174154,6,-10.2
enpp1,CHEMBL5555976,7,-8.2
enpp3,TZV_native,6,-10.0
enpp1,CHEMBL6149286,7,-9.3
enpp1,CHEMBL6174154,7,-8.8
enpp1,CHEMBL5826130,7,-7.8
enpp1,TZV_native,7,-9.1
enpp1,CHEMBL5915707,7,-7.9
enpp2,CHEMBL5826130,7,-7.4
enpp1,CHEMBL5555976,7,-8.2
enpp1,CHEMBL6149286,7,-9.3
enpp2,CHEMBL5915707,7,-6.7
enpp1,CHEMBL6174154,7,-8.8
enpp2,CHEMBL5555976,7,-8.2
enpp1,TZV_native,7,-9.1
enpp2,CHEMBL6149286,7,-10.1
enpp2,CHEMBL5826130,7,-7.4
enpp2,CHEMBL6174154,7,-8.7
enpp2,CHEMBL5915707,7,-6.7
enpp2,TZV_native,7,-8.6
enpp2,CHEMBL5555976,7,-8.2
enpp3,CHEMBL5826130,7,-7.7
enpp2,CHEMBL6149286,7,-10.1
enpp3,CHEMBL5915707,7,-7.5
enpp2,CHEMBL6174154,7,-8.7
enpp3,CHEMBL5555976,7,-7.7
enpp2,TZV_native,7,-8.6
enpp3,CHEMBL6149286,7,-11.0
enpp3,CHEMBL5826130,7,-7.7
enpp3,CHEMBL6174154,7,-10.2
enpp3,TZV_native,7,-10.0
enpp3,CHEMBL5915707,7,-7.5
enpp1,CHEMBL5826130,8,-7.8
enpp3,CHEMBL5555976,7,-7.7
enpp1,CHEMBL5915707,8,-7.9
enpp3,CHEMBL6149286,7,-11.0
enpp3,CHEMBL6174154,7,-10.2
enpp1,CHEMBL5555976,8,-8.3
enpp3,TZV_native,7,-10.0
enpp1,CHEMBL6149286,8,-9.2
enpp1,CHEMBL6174154,8,-8.8
enpp1,CHEMBL5826130,8,-7.8
enpp1,TZV_native,8,-8.8
enpp1,CHEMBL5915707,8,-7.9
enpp2,CHEMBL5826130,8,-7.4
enpp1,CHEMBL5555976,8,-8.3
enpp1,CHEMBL6149286,8,-9.2
enpp2,CHEMBL5915707,8,-6.8
enpp1,CHEMBL6174154,8,-8.8
enpp2,CHEMBL5555976,8,-7.9
enpp1,TZV_native,8,-8.8
enpp2,CHEMBL6149286,8,-10.0
enpp2,CHEMBL5826130,8,-7.4
enpp2,CHEMBL6174154,8,-8.8
enpp2,CHEMBL5915707,8,-6.8
enpp2,TZV_native,8,-8.4
enpp2,CHEMBL5555976,8,-7.9
enpp3,CHEMBL5826130,8,-7.7
enpp2,CHEMBL6149286,8,-10.0
enpp3,CHEMBL5915707,8,-7.5
enpp2,CHEMBL6174154,8,-8.8
enpp3,CHEMBL5555976,8,-7.7
enpp2,TZV_native,8,-8.4
enpp3,CHEMBL6149286,8,-11.0
enpp3,CHEMBL6174154,8,-10.2
enpp3,CHEMBL5826130,8,-7.7
